Company,KBLI,Kelas 1,Kelas 2,Kelas 3,Kelas 4
DIGITAL PRINTEX INDONESIA,13133,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI PEMINTALAN,INDUSTRI PENYEMPURNAAN TEKSTIL
DIGITAL TEKNOLOGI GLOBAL,Not Found,,,,
DIMENSI DIGITAL DUTA INFORMATIKA,Not Found,,,,
DINAR TRUST,Not Found,,,,
DIPO STAR FINANCE,Not Found,,,,
DIPO STAR FINANCE,Not Found,,,,
DIVAINTAN PUTRIPRATAMA,Not Found,,,,
DJEPATI INDO RASA,10772,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI MAKANAN LAINNYA,INDUSTRI BUMBU-BUMBUAN DAN PRODUK MASAK LAINNYA
DONG SUNG TOOLS,Not Found,,,,
DONGAN ALAM SEJAHTERA,Not Found,,,,
DOSNI ROHA LOGISTIK,Not Found,,,,
DUA HARI CIA SEJAHTERA,Not Found,,,,
DUA PULUH TIGA,Not Found,,,,
DUA PUTRA CEMERLANG UTAMA,Not Found,,,,
DURO BANGUN INDONESIA,Not Found,,,,
DUTA ESA ADIPERKASA,,,,,
DUTA NIAGA MULTI SEJAHTERA,45407,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,PERDAGANGAN,PERDAGANGAN
DUTA PUTRA PERSADA MANDIRI,,,,,
DUTA SELARAS SEMESTA,Not Found,,,,
DUTA SELERA PERTIWI,Not Found,,,,
DWI EKA LESTARI,Not Found,,,,
DWI HANDAL OTOMASI INDONESIA,Not Found,,,,
ECONUSA KUALIVA ABADI,Not Found,,,,
EIKO TEKNIK INDONESIA,Not Found,,,,
EIYU DAMAI SEJAHTERA,45201,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,REPARASI DAN PERAWATAN MOBIL,REPARASI DAN PERAWATAN MOBIL
EKA CHATTRA INDONESIA,Not Found,,,,
EKAMANT INDONESIA,23990,INDUSTRI PENGOLAHAN,INDUSTRI BARANG GALIAN BUKAN LOGAM,INDUSTRI BARANG GALIAN BUKAN LOGAM LAINNYA,INDUSTRI BARANG GALIAN BUKAN LOGAM LAINNYA YTDL
EKSONINDO MULTI PRODUCT INDUSTRY,15121,INDUSTRI PENGOLAHAN,INDUSTRI KULIT,INDUSTRI KULIT DAN BARANG DARI KULIT,INDUSTRI BARANG DARI KULIT DAN KULIT KOMPOSISI
ELEGANT INDONESIA,15129,INDUSTRI PENGOLAHAN,INDUSTRI KULIT,INDUSTRI KULIT DAN BARANG DARI KULIT,INDUSTRI BARANG DARI KULIT DAN KULIT KOMPOSISI
ELEGANT TEXTILE INDUSTRY,13112,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI PEMINTALAN,INDUSTRI PERSIAPAN DAN PEMINTALAN SERAT TEKSTIL
ELIAZER NAHOR PRATAMA,Not Found,,,,
ELIM TECH,28221,INDUSTRI PENGOLAHAN,INDUSTRI MESIN DAN PERLENGKAPAN YTDL,INDUSTRI MESIN UNTUK KEPERLUAN KHUSUS,INDUSTRI MESIN DAN PERKAKAS MESIN UNTUK PENGERJAAN LOGAM
ELIZABETH HANJAYA,15129,INDUSTRI PENGOLAHAN,INDUSTRI KULIT,INDUSTRI KULIT DAN BARANG DARI KULIT,INDUSTRI BARANG DARI KULIT DAN KULIT KOMPOSISI
EMART PRATAMA CADOFA,Not Found,,,,
EMBEE PLUMBON TEKSTIL,13112,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI PEMINTALAN,INDUSTRI PERSIAPAN DAN PEMINTALAN SERAT TEKSTIL
EMRAZ INDO MEDIKA,Not Found,,,,
ERACIA MITRA GEMILANG,Not Found,,,,
ERAMULTI SWADAYATAMA,Not Found,,,,
ESKO DIGITAL KOMPUTINDO,Not Found,,,,
EVALINDA BERKAH MANDIRI,Not Found,,,,
EXCIBA INDO CHEMICALS,Not Found,,,,
EXYTOS MITRA ADITAMA,Not Found,,,,
FAHREZA DUTA PERKASA,Not Found,,,,
FAJAR PRAKARSA GUNA,Not Found,,,,
FAJAR PUNCAK PRATAMA,Not Found,,,,
FAMON GLOBAL AWAL BROS,Not Found,,,,
FAMYLAB,Not Found,,,,
FASTKO KARSA PARAMARTA,Not Found,,,,
FASTLINK AMANAH SAFARI NUSANTARA,Not Found,,,,
FAVORI CORP SEDAYA,Not Found,,,,
FITECH YUTAKANA INDONESIA,Not Found,,,,
FOCUSTINDO CEMERLANG,20231,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BARANG KIMIA LAINNYA,INDUSTRI SABUN DAN DETERJEN
FOSTER ISOLASI BUANA,Not Found,,,,
FUJI PROSPEK INDONESIA,Not Found,,,,
FUKOKU TOKAI RUBBER INDONESIA,29300,INDUSTRI PENGOLAHAN,INDUSTRI KENDARAAN BERMOTOR,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH
GADAI CAHAYA DANA ABADI,Not Found,,,,
GADING BHAKTI UTAMA,Not Found,,,,
GADING MURNI,,,,,
GALERI TEKNOLOGI BERSAMA,Not Found,,,,
GALUH CITARUM,Not Found,,,,
GALUH SELARAS MAJU,Not Found,,,,
GANDA PUTERA INSAS,Not Found,,,,
GAPURA FAJAR LANGGENG,22230,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI PIPA PLASTIK DAN PERLENGKAPANNYA
GARDA CIA SENTOSA,Not Found,,,,
GARDA POWER MANDIRI,Not Found,,,,
GARDA RAJA PERTAMA,Not Found,,,,
GARUT PRAKARSA MANDIRI,Not Found,,,,
GATRA KENCANA INDONESIA,Not Found,,,,
GAWIH JAYA,Not Found,,,,
GELORA FAJAR PERKASA,Not Found,,,,
GEMA PARAHYANGAN PLASTIK,22230,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI PIPA PLASTIK DAN PERLENGKAPANNYA
GEMA TABAYA AMANAT,Not Found,,,,
GEMILANG MAJU SENTOSA,Not Found,,,,
GEMILANG OIMA DIOS,Not Found,,,,
GEMPOL ASRI SARI,Not Found,,,,
GENERAL TOOLS INDONESIA,Not Found,,,,
GENTA JAYA ABADI,Not Found,,,,
GEOSADI MAPROTEC,Not Found,,,,
GHANI ARTO LILY,Not Found,,,,
GIRI SAKTI UTAMA,Not Found,,,,
GIS SAINS ENGINEERING,Not Found,,,,
GLOBAL ASIA CHEMICALS,20118,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BAHAN KIMIA,INDUSTRI KIMIA DASAR
GLOBAL BOGA SUKSES,Not Found,,,,
GLOBAL INDO MULTIMEDIA,Not Found,,,,
GLOBAL MEDIA BERKAH,Not Found,,,,
GLOBAL NUSA TRANS,Not Found,,,,
GLOSTAR INDONESIA,15202,INDUSTRI PENGOLAHAN,INDUSTRI KULIT,INDUSTRI ALAS KAKI,INDUSTRI ALAS KAKI
GORA PURASANI SENTOSA,Not Found,,,,
GRAHA CITRA PRIMA,Not Found,,,,
GRAHA PERMATA ABADI,Not Found,,,,
GRAHA PRAWIRA DANISWARA,Not Found,,,,
GRAHA RAHMAT CEMERLANG,Not Found,,,,
GRANADA AUDIO INDONESIA,Not Found,,,,
GREAT PRIMA LESTARI,Not Found,,,,
GREGAH SUKSES MANDIRI ENGINEERING,Not Found,,,,
GRIYA BERKAH MANDIRI,Not Found,,,,
GUNA HASIL MANDIRI,Not Found,,,,
GUNAJAYA SANTOSA,13132,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI PEMINTALAN,INDUSTRI PENYEMPURNAAN TEKSTIL
GUNUNG GEULIS ASRI,Not Found,,,,
GUNUNG MAS PROSPER,Not Found,,,,
GUNUNG TANGKUBAN PERAHU PERMAI,Not Found,,,,
HADE SUKSES SELARAS,Not Found,,,,
HAMPARAN MULYA,Not Found,,,,
HAMSINA JAYA,82920,AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI,AKTIVITAS ADMINISTRASI KANTOR,AKTIVITAS JASA PENUNJANG USAHA YTDL,AKTIVITAS PENGEPAKAN
HANDIRA EKA MANDIRI,Not Found,,,,
HANJUANG BERKAH SEJAHTERA,Not Found,,,,
HARAPAN INDAH BERSAMA ABADI,Not Found,,,,
HARIBARU GEMILANG,Not Found,,,,
HARIKA PRIMA SAKTI,Not Found,,,,
HARMONI DINAMIKA,Not Found,,,,
HASIL BUMI INDONESIA,Not Found,,,,
HASIL KARYA SEJAHTERA,Not Found,,,,
HASIL SEMPURNA,,,,,
HASSAN SINAR LESTARI,Not Found,,,,
HENKOS JAYA TEHNIK,Not Found,,,,
HENNY MAKMUR JAYA,Not Found,,,,
HENO SEJAHTERA BERSAMA,Not Found,,,,
HERBA PENAWAR AL WAHIDA INDONESIA,Not Found,,,,
HIJI LINTANG PURNAMA,37022,TREATMENT AIR,TREATMENT AIR LIMBAH,TREATMENT AIR LIMBAH,TREATMENT DAN PEMBUANGAN AIR LIMBAH
HIKMAH MUDYA,Not Found,,,,
HITACHI ASTEMO BEKASI POWERTRAIN SYSTEMS,29300,INDUSTRI PENGOLAHAN,INDUSTRI KENDARAAN BERMOTOR,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH
HOKKAN DELTAPACK INDUSTRI,22220,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI BARANG DARI PLASTIK UNTUK PENGEMASAN
HON CHUAN INDONESIA,22220,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI BARANG DARI PLASTIK UNTUK PENGEMASAN
HOWKI GONDANG PERKASA,Not Found,,,,
HURIP BINTANG PRATAMA,Not Found,,,,
HYUNDAI MOBIL INDONESIA,45201,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,REPARASI DAN PERAWATAN MOBIL,REPARASI DAN PERAWATAN MOBIL
IBRAHIM BERKAH SEJAHTERINDO,Not Found,,,,
IJO ROYO ROYO ASRI,Not Found,,,,
IK PRECISION INDONESIA,22293,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI BARANG DARI PLASTIK LAINNYA
INDO HUSADA UTAMA,Not Found,,,,
INDO KAYA ENERGI,Not Found,,,,
INDO LYSAGHT,20111,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BAHAN KIMIA,INDUSTRI KIMIA DASAR
INDO MARTA PRIMA,Not Found,,,,
INDO MITRA PRATAMA,31001,INDUSTRI PENGOLAHAN,INDUSTRI FURNITUR,INDUSTRI FURNITUR,INDUSTRI FURNITUR
INDO OTHAIM INTERNASIONAL,Not Found,,,,
INDOAUSTRA UTAMA,Not Found,,,,
INDOBIKE DUA ENAM,Not Found,,,,
INDOLAND TRADING INTERNATIONAL,Not Found,,,,
INDOMETAL BEKASI SARANA MAKMUR,Not Found,,,,
INDOMETAL MITRABUANA,25920,INDUSTRI PENGOLAHAN,INDUSTRI BARANG LOGAM,INDUSTRI BARANG LOGAM LAINNYA DAN JASA PEMBUATAN BARANG LOGAM,JASA INDUSTRI UNTUK BERBAGAI PENGERJAAN KHUSUS LOGAM DAN BARANG DARI LOGAM
INDONESIA RAYA MAKMUR,25940,INDUSTRI PENGOLAHAN,INDUSTRI BARANG LOGAM,INDUSTRI BARANG LOGAM LAINNYA DAN JASA PEMBUATAN BARANG LOGAM,INDUSTRI EMBER
INDORAMA POLYCHEM INDONESIA,20301,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI SERAT BUATAN,INDUSTRI SERAT BUATAN
INDORAMA SYNTHETICS TBK,Not Found,,,,
INDO-RAMA SYNTHETICS TBK,13112,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI PEMINTALAN,INDUSTRI PERSIAPAN DAN PEMINTALAN SERAT TEKSTIL
INDORAYA NUSANTARA DJAYA,Not Found,,,,
INDOTAISEI INDAH DEVELOPMENT,Not Found,,,,
INDOTAMA FERRO ALLOYS,24202,INDUSTRI PENGOLAHAN,INDUSTRI LOGAM DASAR,INDUSTRI LOGAM DASAR MULIA DAN LOGAM DASAR BUKAN BESI LAINNYA,INDUSTRI LOGAM DASAR MULIA DAN LOGAM DASAR BUKAN BESI LAINNYA
INDOWIN ENGINEERING INDONESIA,Not Found,,,,
INDOWOOYANG,10399,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI PENGOLAHAN DAN PENGAWETAN BUAH-BUAHAN DAN SAYURAN,INDUSTRI PENGOLAHAN DAN PENGAWETAN LAINNYA BUAH-BUAHAN DAN SAYURAN
INSANI MAJU BERDIKARI,Not Found,,,,
INTERFOOD SUKSES JASINDO,Not Found,,,,
INTERNATIONAL MACHINERY,,,,,
INTI DAYA MANDIRI PRATAMA,Not Found,,,,
INTI POLYMETAL,29300,INDUSTRI PENGOLAHAN,INDUSTRI KENDARAAN BERMOTOR,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH,INDUSTRI SUKU CADANG DAN AKSESORI KENDARAAN BERMOTOR RODA EMPAT ATAU LEBIH
INTI PRATAMA GLOBALINDO,Not Found,,,,
INTIKENCANA WIRAPUTERA,Not Found,,,,
IEK SINERGI HAYATI,Not Found,,,,
IRKA JAYA ERKON,Not Found,,,,
ISTANA KARYA PROPERTINDO,Not Found,,,,
IWAMA PRIMA TEXTILE MILLS,13921,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI TEKSTIL LAINNYA,INDUSTRI PEMBUATAN BARANG TEKSTIL
JABAPUTRA BINAWAN UNGGUL,Not Found,,,,
JAFA PALMA INDONESIA,32909,INDUSTRI PENGOLAHAN,INDUSTRI PENGOLAHAN LAINNYA,INDUSTRI PENGOLAHAN LAINNYA YTDL,INDUSTRI PENGOLAHAN LAINNYA YTDL
JAGO SUKSES MAKMUR,Not Found,,,,
JAPFA COMFEED INDONESIA Tbk,10801,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI MAKANAN HEWAN,INDUSTRI MAKANAN HEWAN
JASA ANDA,Not Found,,,,
JASA PRIMA ADIGUNA,Not Found,,,,
JASA PRIMA LOGISTIK BULOG,Not Found,,,,
JASAMEDIKA SARANATAMA,Not Found,,,,
JASKO PRIMA SEJAHTERA,Not Found,,,,
JAVA MONT MINERAL,Not Found,,,,
JAWHARA SYARI INDONESIA,Not Found,,,,
JAYA ABADI REGENCY,Not Found,,,,
JAYA BINANGUN BHASKARA PRIMA,Not Found,,,,
JAYA KESUMA LESTARI,Not Found,,,,
JAYA MAKMUR PAJAJARAN,Not Found,,,,
JAYA MANDIRI BERKAH,Not Found,,,,
JEJAK HASANAH,Not Found,,,,
JENSSEN NATAMA ABADI,Not Found,,,,
JEPARINDO AGUNG PERKASA,Not Found,,,,
JUAHN INDONESIA,22293,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI BARANG DARI PLASTIK LAINNYA
JULIARTHA JAYA PRATAMA,Not Found,,,,
KABEPE CHAKRA,10763,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI MAKANAN LAINNYA,INDUSTRI PENGOLAHAN KOPI
KADEKA,Not Found,,,,
KAHADE MITRA SEJATI,Not Found,,,,
KAIROS TRANSINDO PERKASA,Not Found,,,,
KALOKA BINANGUN,17021,INDUSTRI PENGOLAHAN,INDUSTRI KERTAS DAN BARANG DARI KERTAS,INDUSTRI KERTAS DAN BARANG DARI KERTAS,INDUSTRI KERTAS DAN PAPAN KERTAS BERGELOMBANG DAN WADAH DARI KERTAS DAN PAPAN KERTAS
KALYANAMITTA BANINDO,Not Found,,,,
KAMPUH WELDING CIKARANG,Not Found,,,,
KANAKA SUKSES LESTARI,Not Found,,,,
KARAWANG DISTRIBUSINDO RAYA,Not Found,,,,
KARINDO MITRA INTERNASIONAL,26490,INDUSTRI PENGOLAHAN,INDUSTRI KOMPUTER,INDUSTRI PERALATAN AUDIO DAN VIDEO ELEKTRONIK,INDUSTRI PERALATAN AUDIO DAN VIDEO ELEKTRONIK LAINNYA
KARIYANA GITA UTAMA,Not Found,,,,
KARTIKA JAYA KONTRUKSINDO,Not Found,,,,
KARYA BUSANA INDONESIA,Not Found,,,,
KARYA JOUJA GEMILANG,Not Found,,,,
KARYA KELOLASEMESTA,,,,,
KARYA MANDIRI CIKARANG,Not Found,,,,
KARYA MULIA PUSAKA,Not Found,,,,
KARYA PANCA PERSADA,Not Found,,,,
KARYA PUTRA SANGKURIANG,22192,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI KARET DAN BARANG DARI KARET,INDUSTRI BARANG DARI KARET LAINNYA
KARYA SEJAHTERA LESTARI,Not Found,,,,
KARYA SUKSES STEEL,Not Found,,,,
KARYA UTAMAINDO MANDIRI,Not Found,,,,
KAWASAN BERIKAT NUSANTARA,Not Found,,,,
KAZTA RAYA CEMERLANG,Not Found,,,,
KECE TRANSPORT BANDUNG,Not Found,,,,
KEMBANG CHRISTAPHARMA,Not Found,,,,
KENCANA JAYA PROPERTI,Not Found,,,,
KENDI INDAH LESTARI,Not Found,,,,
KERETA API INDONESIA (PERSERO),Not Found,,,,
KERETA API LOGISTIK,Not Found,,,,
KHARITA SEJAHTERA BERSAMA,Not Found,,,,
KIAN SANTANG MULIATAMA,28130,INDUSTRI PENGOLAHAN,INDUSTRI MESIN DAN PERLENGKAPAN YTDL,INDUSTRI MESIN UNTUK KEPERLUAN UMUM,NDUSTRI POMPA LAINNYA
KILAP PROPERTINDO,Not Found,,,,
KIM TECHNOLOGY SOLUTIONS,Not Found,,,,
KIMIA FARMA APOTEK,Not Found,,,,
KINERJA MUTIARA PERSADA,20291,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BARANG KIMIA LAINNYA,INDUSTRI BARANG KIMIA LAINNYA YTDL
KINOBI INDAH FARMA,Not Found,,,,
KIRANA SAKTI KOMPUTINDO,Not Found,,,,
KITA MAJU SEJAHTERA,Not Found,,,,
KOBAMAS PUROHITA,Not Found,,,,
KOPRIMA SANDYSEJAHTERA,Not Found,,,,
KREASI PERDANA KONSTRUKSI INDONESIA,Not Found,,,,
KREATIF MANDIRI SAKTI,Not Found,,,,
KROMATINDOMAS KIMIATAMA,Not Found,,,,
KUDA KENCANA,12011,INDUSTRI PENGOLAHAN,INDUSTRI PENGOLAHAN TEMBAKAU,INDUSTRI PENGOLAHAN TEMBAKAU,INDUSTRI ROKOK DAN PRODUK TEMBAKAU LAINNYA
KUJANG SAKTI ANUGRAH,Not Found,,,,
KUMAR CONTAINERS PVT LTD,25940,INDUSTRI PENGOLAHAN,INDUSTRI BARANG LOGAM,INDUSTRI BARANG LOGAM LAINNYA DAN JASA PEMBUATAN BARANG LOGAM,INDUSTRI EMBER
KUSUMASEJATI INTIPRIMA,Not Found,,,,
KYG TOOLING INDONESIA,Not Found,,,,
LAJU BERSAMA INDAH,Not Found,,,,
LASALLEFOOD INDONESIA,10723,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI MAKANAN LAINNYA,INDUSTRI GULA
LAUTAN ARTHA BAHARI,Not Found,,,,
LAUTAN WARNA SARI,20116,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BAHAN KIMIA,INDUSTRI KIMIA DASAR
LAVANAYA MADINAH TRAVEL,Not Found,,,,
LE&EN INDOCHACON UTAMA,13993,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI TEKSTIL LAINNYA,INDUSTRI TEKSTIL LAINNYA YTDL
LEE FONG INDONESIA,15201,INDUSTRI PENGOLAHAN,INDUSTRI KULIT,INDUSTRI ALAS KAKI,INDUSTRI ALAS KAKI
LEMBU JANTAN PERKASA,,,,,
LESTARI BINTANG MANDIRI,Not Found,,,,
LESTARI DINI TUNGGUL,14111,INDUSTRI PENGOLAHAN,INDUSTRI PAKAIAN JADI,INDUSTRI PAKAIAN JADI DAN PERLENGKAPANNYA,INDUSTRI PAKAIAN JADI (BUKAN PENJAHITAN DAN PEMBUATAN PAKAIAN)
LEUWILIANG SEGAR PRAKARSA,Not Found,,,,
LIMAS JAYA MAKMUR,,,,,
LIMAS RAGA INTI,Not Found,,,,
LINTAS BENEFINDO JAYA,Not Found,,,,
LINTAS CAKRA CIA,Not Found,,,,
LINTAS NUSANTARA PERDANA,Not Found,,,,
LINTAS TOMINI MANDIRI,,,,,
LOKATARA ABHINAYA,Not Found,,,,
LORAMO ANUGRAH JAYA,Not Found,,,,
LUKITA JAYA PERKASA,Not Found,,,,
LUMBUNG SEJAJAR SEJATI,Not Found,,,,
LUNAR INDAH MAKMUR,Not Found,,,,
MJUSUF & SONS,Not Found,,,,
MACHESA MULTI LIFTINDO,28160,INDUSTRI PENGOLAHAN,INDUSTRI MESIN DAN PERLENGKAPAN YTDL,INDUSTRI MESIN UNTUK KEPERLUAN UMUM,INDUSTRI ALAT PENGANGKAT DAN PEMINDAH
MAHA RAYA PERKASA,Not Found,,,,
MAHA TIRTA UTAMA,Not Found,,,,
MAHANANI MUKTI MULYA,Not Found,,,,
MAHKOTA PERMATA PERDANA,Not Found,,,,
MAJU JAYA INTERNATIONAL,,,,,
MAJU JAYA MAKMUR SEJAHTERA,Not Found,,,,
MAJU PUTRA TEKNINDO,Not Found,,,,
MAKANAN ASLI INDONESIA,Not Found,,,,
MAKMUR EXPEDISI RIANIATE,Not Found,,,,
MAKMUR LESTARI EVOLUSI,Not Found,,,,
MAKMUR MITRA ABADI,Not Found,,,,
MAKMUR PRIMA SENTOSA,Not Found,,,,
MAKTAL DISTRIBUSI PRATAMA,Not Found,,,,
MANAJEMEN BAHAN BAKAR ANDALAN,Not Found,,,,
MANDIRI CIA SEJAHTERA,Not Found,,,,
MANDIRI SEJAHTERA TEHNIK,Not Found,,,,
MANGUL JAYA,15201,INDUSTRI PENGOLAHAN,INDUSTRI KULIT,INDUSTRI ALAS KAKI,INDUSTRI ALAS KAKI
MANOLO PUTRA,Not Found,,,,
MANUNGGAL PERKASA,33119,INDUSTRI PENGOLAHAN,REPARASI DAN PEMASANGAN MESIN DAN PERALATAN,REPARASI PRODUK LOGAM PABRIKASI,REPARASI PRODUK LOGAM PABRIKASI
MANVIS TEKNOLOGI ENJINERING,Not Found,,,,
MARGA NUSANTARA JAYA,Not Found,,,,
MARGASETA UTAMA,Not Found,,,,
MARKAINDO SELARAS,Not Found,,,,
MARKS BANDUNG JAYA,Not Found,,,,
MASPLAST POLY FILM,22291,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI BARANG DARI PLASTIK LAINNYA
MASTER ENGINEERING SERVICE,Not Found,,,,
MAWAR MOTOR FAYURI,Not Found,,,,
MAWAR MOTOR PERKASA,Not Found,,,,
MAX CHEM INDONESIA,Not Found,,,,
MAX KREASI INDONESIA,Not Found,,,,
MAXBIZ ENVIRON,Not Found,,,,
MAYA GRAHA INDAH,Not Found,,,,
MECCAYA,21012,INDUSTRI PENGOLAHAN,INDUSTRI FARMASI,INDUSTRI FARMASI,INDUSTRI FARMASI DAN PRODUK OBAT KIMIA
MEDIKA JASA UTAMA,Not Found,,,,
MEDIKA VISINDO PERKASA,Not Found,,,,
MEDION ARDHIKA BHAKTI,Not Found,,,,
MEGAHPUTRA SEJAHTERA,10740,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI MAKANAN LAINNYA,INDUSTRI MAKARONI
MEGAKARYA NUSANTARA PERKASA,Not Found,,,,
MEGALOPOLIS MANUNGGAL INDUSTRIAL DEVELOPMENT,Not Found,,,,
MENGGAPAI CAKRAWALA SEMESTA,Not Found,,,,
MEPROFARM,21012,INDUSTRI PENGOLAHAN,INDUSTRI FARMASI,INDUSTRI FARMASI,INDUSTRI FARMASI DAN PRODUK OBAT KIMIA
MERAPI UTAMA PHARMA,Not Found,,,,
MERPATI ALAM SEMESTA,Not Found,,,,
METALINDO GUNA TEKNIK INDUSTRI,Not Found,,,,
METRIX ELCIA,Not Found,,,,
MIDI UTAMA INDONESIA TBK,Not Found,,,,
MIGAS HULU JABAR,Not Found,,,,
MIGOTO INDONESIA,25920,INDUSTRI PENGOLAHAN,INDUSTRI BARANG LOGAM,INDUSTRI BARANG LOGAM LAINNYA DAN JASA PEMBUATAN BARANG LOGAM,JASA INDUSTRI UNTUK BERBAGAI PENGERJAAN KHUSUS LOGAM DAN BARANG DARI LOGAM
MILPO INDONESIA,Not Found,,,,
MILPO METALINDO PERKASA,25910,INDUSTRI PENGOLAHAN,INDUSTRI BARANG LOGAM,INDUSTRI BARANG LOGAM LAINNYA DAN JASA PEMBUATAN BARANG LOGAM,INDUSTRI PENEMPAAN
MINERAL UTAMA SERVIS,Not Found,,,,
MITRA BANGUN KONTRAKTOR,Not Found,,,,
MITRA BISNIS KELUARGA VENTURA,Not Found,,,,
MITRA BISNIS MADANI,Not Found,,,,
MITRA BUMDES NUSANTARA,Not Found,,,,
MITRA BUMI SURYA,Not Found,,,,
MITRA ESA ABADI,Not Found,,,,
MITRA HAPPI SEJAHTERA,Not Found,,,,
MITRA HUSADA MANDIRI,Not Found,,,,
MITRA JASA POWER,Not Found,,,,
MITRA KALYANA SEJAHTERA,Not Found,,,,
MITRA KARAWANG JAYA,Not Found,,,,
MITRA KENCANA MANDIRI ENTERTAINMENT,Not Found,,,,
MITRA KIMIA MAS,Not Found,,,,
MITRA KREATIF INDONESIA,Not Found,,,,
MITRA LIMA R,Not Found,,,,
MITRA MINA SAN,Not Found,,,,
MITRA NIAGA SENTRATAMA,Not Found,,,,
MITRA PINASTHIKA MUSTIKA,,,,,
MITRA PRIMA ADITAMA,Not Found,,,,
MITRA SARANA CIKAMPEK,,,,,
MITRA SINERGI PLASINDO,22230,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI PIPA PLASTIK DAN PERLENGKAPANNYA
MITRA SOLUSI KIMIATAMA,Not Found,,,,
MITRADEKA MANDIRI,Not Found,,,,
MITRALAB BUANA,Not Found,,,,
MITRATAMA PROSPEK SOLUSINDO,25920,INDUSTRI PENGOLAHAN,INDUSTRI BARANG LOGAM,INDUSTRI BARANG LOGAM LAINNYA DAN JASA PEMBUATAN BARANG LOGAM,JASA INDUSTRI UNTUK BERBAGAI PENGERJAAN KHUSUS LOGAM DAN BARANG DARI LOGAM
MITSUI LEASING CAPITAL INDONESIA,Not Found,,,,
MIZUKI INTERNATIONAL,Not Found,,,,
MOSSA KARYA UTAMA,Not Found,,,,
