Company,KBLI,Kelas 1,Kelas 2,Kelas 3,Kelas 4
CIA MANDIRI ELEKTRINDO,Not Found,,,,
CIAPRESISI SARANA TEKSINDO,Not Found,,,,
CITRA ABADI TEKNIK INDONESIA,Not Found,,,,
CITRA BONANG,Not Found,,,,
CITRA CELEBAS MULTIMEDIA,Not Found,,,,
CITRA CIANJUR PRIMA,Not Found,,,,
CITRA EKSA DJAJA,Not Found,,,,
CITRA GRAFIKA SEJAHTERA,Not Found,,,,
CITRA KAMOJANG SEJAHTERA,Not Found,,,,
CITRA KURNIA CHEMINDO,Not Found,,,,
CITRA MENARA MAS,13113,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI PEMINTALAN,INDUSTRI PERSIAPAN DAN PEMINTALAN SERAT TEKSTIL
CITRAPRIMA EKASHAKTI,Not Found,,,,
COSMA MITRA SEJAHTERA,Not Found,,,,
CRK FILM INDONESIA,Not Found,,,,
CSM CORPORATAMA,Not Found,,,,
CYBERPLUS MEDIA PRATAMA,Not Found,,,,
DAMAR DELAPAN UTAMA,Not Found,,,,
DAMAS CIA MANDIRI,Not Found,,,,
DANS SEHAT FARMA,Not Found,,,,
DASA PRIMA,,,,,
DATAKOM STRATA TIGA,Not Found,,,,
DAYA ANUGRAH MANDIRI,45407,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,PERDAGANGAN,PERDAGANGAN
DAYA MITRA TEKINDO,Not Found,,,,
DEASSY SUKSES MULTI USAHA,Not Found,,,,
DEHACO PRATAMA PUTRA,Not Found,,,,
DELTA KAPUAS SUKSESINDO,Not Found,,,,
DELTA PETRO,Not Found,,,,
DELTA SURYA PERSADA,Not Found,,,,
DHANAR MAS CONCERN,13112,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI PEMINTALAN,INDUSTRI PERSIAPAN DAN PEMINTALAN SERAT TEKSTIL
DHARMA JAYA LAKSANA UTAMA,Not Found,,,,
DHARMATAMA INTI LESTARI,Not Found,,,,
DIAN PURI KARTA,Not Found,,,,
DIGITAL OTOMA SOLUSI,Not Found,,,,
DIPO STAR FINANCE,Not Found,,,,
DISTRIVERSA BUANAMAS,Not Found,,,,
DITRACO BANGUN SARANA INTERNASIONAL,38301,TREATMENT AIR,PENGUMPULAN,PEMULIHAN MATERIAL,PEMULIHAN MATERIAL
DRAF GASITAS,Not Found,,,,
DUA PUTRA PERKASA PRATAMA,Not Found,,,,
DUA PUTRA SRIKANDI,20221,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BARANG KIMIA LAINNYA,INDUSTRI CAT DAN TINTA CETAK
DUTA ANUGRAH DAMAI SEJAHTERA,Not Found,,,,
DUTA ENERGI ARTHABUMI,Not Found,,,,
DUTA GRAFIKA INDONESIA,Not Found,,,,
DUTA KALASUBA NUSANTARA,Not Found,,,,
DUTA KEMAS INDONESIA,Not Found,,,,
DUTARAYA INVESTINDO,Not Found,,,,
DWIHANDAL HADETRADA INDONESIA,22291,INDUSTRI PENGOLAHAN,INDUSTRI KARET,INDUSTRI BARANG DARI PLASTIK,INDUSTRI BARANG DARI PLASTIK LAINNYA
DWIKARYA INDONESIA MANDIRI,Not Found,,,,
DYMATIC CHEMICALS INDONESIA,Not Found,,,,
EDIFLY SOLUSI INDONESIA,Not Found,,,,
EIGERINDO MULTI PRODUK INDUSTRI,,,,,
EKA SUMBER ABADI,Not Found,,,,
EKA SURYA WIJAYA,45407,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,PERDAGANGAN,PERDAGANGAN
EKAMANT INDONESIA,23990,INDUSTRI PENGOLAHAN,INDUSTRI BARANG GALIAN BUKAN LOGAM,INDUSTRI BARANG GALIAN BUKAN LOGAM LAINNYA,INDUSTRI BARANG GALIAN BUKAN LOGAM LAINNYA YTDL
EKSPANINDO PRIMA MULTIMEDIA,Not Found,,,,
ELANG BATUAH INDONESIA,Not Found,,,,
ELANGPERDANA TYRE INDUSTRY,Not Found,,,,
ELEKTRIKA MULTIKATAMA,Not Found,,,,
ELMINA SEVICE HAJJ,Not Found,,,,
ELPRIMA KENCANA,Not Found,,,,
EMART PRATAMA CADOFA,Not Found,,,,
ENERGI ENTELEMI INDONESIA,Not Found,,,,
ENESERS MITRA BERKAH,26602,INDUSTRI PENGOLAHAN,INDUSTRI KOMPUTER,INDUSTRI PERALATAN IRADIASI,INDUSTRI PERALATAN IRADIASI
ENSEVAL PUTERA MEGATRADING TBK,Not Found,,,,
ERA PERMATA SEJAHTERA,Not Found,,,,
ERA WARNA MANDIRI,Not Found,,,,
ERVIX MEDIKA UTAMA,Not Found,,,,
ETEDAAL PETRO SERVICES,Not Found,,,,
EXCELINDO RAJA ABADI,Not Found,,,,
FAHER HAYAD BERSATU,Not Found,,,,
FAHREZA DUTA PERKASA,Not Found,,,,
FAJAR BUANA INTERNUSA TRANS,Not Found,,,,
FAMED CALIBRATION,Not Found,,,,
FASTERINDO FORMWORK INDONESIA,Not Found,,,,
FERINATEX JAYA,13132,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI PEMINTALAN,INDUSTRI PENYEMPURNAAN TEKSTIL
FLOREX FARMINDO,Not Found,,,,
FRISANSHA ANUGERAH ALKESINDO,Not Found,,,,
GABY BERKAT SEJAHTERA,Not Found,,,,
GAJAH KEMBAR MAKMUR,Not Found,,,,
GANDA PUTERA INSAS,Not Found,,,,
GAPURA KERO,Not Found,,,,
GAPURA MANDIRI SEMESTA,Not Found,,,,
GARDA TOTAL SECURINDO,Not Found,,,,
GARUDA GEMILANG INDONESIA,Not Found,,,,
GARUDA NUSANTARA STEEL,Not Found,,,,
GARUDAFOOD PUTRA PUTRI JAYA Tbk,Not Found,,,,
GEMERLAP JAYA PRIMA,27900,INDUSTRI PENGOLAHAN,INDUSTRI PERALATAN LISTRIK,INDUSTRI PERALATAN LISTRIK LAINNYA,INDUSTRI PERALATAN LISTRIK LAINNYA
GEMILANG PRIMA UTAMA,Not Found,,,,
GENTA BUANA ENGINEERING,,,,,
GERBANG KARYA SENTOSA,Not Found,,,,
GHEWANTIKA KONSTRUKSI,Not Found,,,,
GIPSINDO GRAHATAMA,Not Found,,,,
GIZI PANGAN UTAMA,Not Found,,,,
GLOBAL ASIA CHEMICALS,20118,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BAHAN KIMIA,INDUSTRI KIMIA DASAR
GLOBAL CITRA PRIMAKARYA,Not Found,,,,
GLOBAL DAIRI ALAMI,10510,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI PENGOLAHAN SUSU,INDUSTRI PENGOLAHAN SUSU SEGAR DAN KRIM
GLOBAL SEJAHTERA KEMASINDO,Not Found,,,,
GLOBAL SOLUSI SEJAHTERA,Not Found,,,,
GLOBAL TEKNOLOGI TERAINDO,Not Found,,,,
GOLDTEK UTAMA MANDIRI,Not Found,,,,
GRACIA JAYA MAKMUR,Not Found,,,,
GRAHA CURAH NIAGA,Not Found,,,,
GRAND TWINS ENGINEERING,13111,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI PEMINTALAN,INDUSTRI PERSIAPAN DAN PEMINTALAN SERAT TEKSTIL
GRIYA BANYU BIRU,Not Found,,,,
GRIYA SUKAMANAH PERMAI,Not Found,,,,
GUITTARA MAHAKARYA MEDIKA,Not Found,,,,
HADI PUTRA JAYA,Not Found,,,,
HALUAN DAYA NIAGA,Not Found,,,,
HANDAL ENJINIA INDONESIA,Not Found,,,,
HANJIN INSOLE INDONESIA,15201,INDUSTRI PENGOLAHAN,INDUSTRI KULIT,INDUSTRI ALAS KAKI,INDUSTRI ALAS KAKI
HARIANTO MITRA USAHA,Not Found,,,,
HARMONI UTAMA TEKSTIL,13921,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI TEKSTIL LAINNYA,INDUSTRI PEMBUATAN BARANG TEKSTIL
HDE PRATAMA LOGISTICS,Not Found,,,,
HEKSA GARDA UTAMA,Not Found,,,,
HEMAT PISAN INDONESIA,Not Found,,,,
HENDARSYAH SURYA PUTRA,Not Found,,,,
HIRA KARYA ABADI,Not Found,,,,
HIRA MULIA ABADI,Not Found,,,,
HIRA UTAMA GROUP,Not Found,,,,
HNY EKSPRES INDONESIA,Not Found,,,,
HOKI MART INDONESIA,Not Found,,,,
HUSNAN PUTRA MANDIRI,Not Found,,,,
HYDRA PRESINDO PERKASA,Not Found,,,,
HYUNDAI MOBIL INDONESIA,45201,PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,PERDAGANGAN,REPARASI DAN PERAWATAN MOBIL,REPARASI DAN PERAWATAN MOBIL
IDEAS SEMESTA ENERGI,Not Found,,,,
IMA MONTAZ TEKNINDO,Not Found,,,,
IMMORTAL COSMEDIKA INDONESIA,20232,INDUSTRI PENGOLAHAN,INDUSTRI BAHAN KIMIA DAN BARANG DARI BAHAN KIMIA,INDUSTRI BARANG KIMIA LAINNYA,INDUSTRI SABUN DAN DETERJEN
INAKA MULIA TRIKARYA,Not Found,,,,
INBLOOM KARYA CEMERLANG,Not Found,,,,
INDIKA LOGISTIC & SUPPORT SERVICES,Not Found,,,,
INDO DAYASURYA PERSADA,Not Found,,,,
INDO EVERGREEN AGRO BUSINESS COORPORATION,Not Found,,,,
INDOHADETAMA,,,,,
INDOMEDIKA DUTA MANDIRI,Not Found,,,,
INDONESIA BAKERY FAMILY,10710,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI MAKANAN LAINNYA,INDUSTRI PRODUK ROTI DAN KUE
INDOSUBUR SUKSES MAKMUR,Not Found,,,,
INDOTAMA MULTI SARANA,Not Found,,,,
INDRAPRASTHA TEKNIKA UTAMA,Not Found,,,,
INHUTANI II,Not Found,,,,
INOUT FURNITURE INDONESIA,Not Found,,,,
INOVASI MULIA KREASINDOTEX,13996,INDUSTRI PENGOLAHAN,INDUSTRI TEKSTIL,INDUSTRI TEKSTIL LAINNYA,INDUSTRI TEKSTIL LAINNYA YTDL
INOVASI TJARAKA BUANA,Not Found,,,,
INTAN UTAMA LOGISTIK,Not Found,,,,
INTEGRA PRIMA SOLUSINDO,Not Found,,,,
INTEGRATED SUSTAINABLE RISK SOLUTIONS INDONESIA,Not Found,,,,
INTERNASIONAL PRIMA NIAGA,Not Found,,,,
INTI MULTIMA SERTIFIKASI,Not Found,,,,
INTI STEEL SEJAHTERA,Not Found,,,,
INTI WIJAYA MANDIRI,Not Found,,,,
INTILAUT SARIRASA INDONESIA,10774,INDUSTRI PENGOLAHAN,INDUSTRI MAKANAN,INDUSTRI MAKANAN LAINNYA,INDUSTRI BUMBU-BUMBUAN DAN PRODUK MASAK LAINNYA
IPONIA ARMADA MITRA TRANSPORTASI,Not Found,,,,
IRKA JAYA ERKON,Not Found,,,,
ISPAT BUKIT BAJA,24102,INDUSTRI PENGOLAHAN,INDUSTRI LOGAM DASAR,INDUSTRI LOGAM DASAR BESI DAN BAJA,INDUSTRI LOGAM DASAR BESI DAN BAJA
ISTANA FAISINDO UTAMA,Not Found,,,,
JAGO SUKSES MAKMUR,Not Found,,,,
JAKARTA ELECTRIC INDONESIA,Not Found,,,,
JAKARTA KOMUNIKASI INDONESIA,Not Found,,,,
JALADHARA MRECUKUNDHA,Not Found,,,,
JALAN HIJAU,Not Found,,,,
JATIASIH DISTRIBUSINDO RAYA,Not Found,,,,
JAVANICE INDONESIA PERKASA,Not Found,,,,
JAYA BINANGUN BHASKARA PRIMA,Not Found,,,,
JAYA INTER SUPRA,Not Found,,,,
JAYA MANDIRI BERKAH,Not Found,,,,
JAYA SUKMA MAKMUR,Not Found,,,,
JAYA TEKNIK PONDASI,Not Found,,,,
JAYA UTAMA PERKASA,Not Found,,,,
