KARYA ASRI MANDIRI,
KARYA BHAKTI PRATIWI,
KARYA MITRA SERAYA,
KARYA PERDANA TRANSPORTAMA,
KARYAMITRA LESTARI KEMASEJAHTERA,
KEMILAU ABADI SEJAHTERA,
KIANDA PRATAMA ENERGY,
KILAT WAHANA JENGGALA,
KIM TECHNOLOGY SOLUTIONS,
KIMIA FARMA APOTEK,
KIMIA JAYA UTAMA,
KOPO JAYA MANUNGGAL,
KREASI INDUSTRI TRAY,
KREASI INTINUSA MANDIRI,
KREASI JAFA MEDIA,
KREASI MANDIRI PERKASA,
KREASI PRIMA NUSANTARA,
KUNCI SUKSES ABADI,
KURNIA CIPINANG JAYA,
KURNIA MAJU JAYA,
KUSUMA TANJUNG PERSADA,
KUSUMA WIJAYA INFINITI,
KUSUMASEJATI INTIPRIMA,
KWARTA MEGA PERSADA,
LAJU LINGKAR SEJATI,
LAJU MEGAH MANUNGGAL,
LAJU SAKTI JAYA,
LAM JAGAR NATIO,
LAMPURA TEKNIK MANDIRI,
LANCAR LANGGENG REKATAMA,
LANCAR SAKTI LUBRINDO,
LEGALIA SUKSES MANDIRI,
LEGNO TROPICALINDO,
LESTARI MAHAPUTRA BUANA,
LIMA BERKAT SEJAHTERA,
LIMAS EXPRESS EXECUTIVE,
LINGGA MEKAR ENGINEERING,
LINTAS CAKRA CIA,
LINTAS DATA TRANS,
LINTAS JAYA RAYA,
LINTAS NUSANTARA PERDANA,
LISTRIK SARANA JABAR,
LKM AKHLAKUL KARIMAH,
LOGAM JAYA ABADI,
LORRO SAE ABADI,
LUCKY PERDANA MULTIMEDIA,
LULU LERE AISA,
LUMINO ALUMUNIUM BANGUN KONTRUKSI,
LUSINDONAULI PUTRA MANDIRI,
MAJU JAYA SUKSES ABADI,
MAKMUR SEJAHTERA CIAKREASI,
MANDIRI CIA PERKASA UTAMA,
MANDIRI CIA SEJAHTERA,
MANDIRI MAHA DAYA,
MANDIRI MEDIKA FARMA,
MANEKINDO MULTI KREASI,
MANEUNGTEUNG ANUGERAH MANDIRI,
MANGGALA DUTA,
MANUNGGAL SUMBER DAYA,
MARDIZU SEJAHTERA,
MARGA NUSANTARA JAYA,
MARKAINDO SELARAS,
MARKONI MANDIRIPERKASA,
MASKITANI JEMBAR LESTARI,
MATA ELANG STRATEGIC,
MATA PELANGI CHEMINDO,
MAX KREASI INDONESIA,
MECHANISTORE SUKSES BERSAMA,
MEDIA LINTAS DATA,
MEGA BANGUNAN INDAH,
MEGA DUNIA KONSTRUKSINDO,
MEGA KAPUAS DINAMIK,
MEGA OCEAN JAYA,
MEGA UTAMA MEDICA,
MEGA VIRIYA INDONESIA,
MEGAH KAYU INDUSTRI,
MEGAH TATA SERUNI,
MEGATEKNIK UTAMA MANDIRI,
MEI INDITHYA TALENTA,
MEKAR AGUNG SEJAHTERA,
MEKATRINDO TIRTA ABADI,
MENARA GADING MULIA,
MERAPI MAJU MAKMUR,
METAGUNA INNOVA,
METRINDO,
METRO NIAGA HUTAMA,
METROPOLITAN CITY CENTER,
MILLENNIUM PHARMACON INTERNATIONAL TBK,
MINOFA MULTI SUKSES,
MITRA ANGKASA RAYA,
MITRA BISNIS KELUARGA VENTURA,
MITRA CHEMINDO UTAMA,
MITRA HANDAL SEJAHTERA,
MITRA INDUSTRI JAYA,
MITRA JARINGAN GLOBAL,
MITRA MANDALA SEMESTA PUSAKA,
MITRA PINASTHIKA MUSTIKA,
MITRA PINASTHIKA MUSTIKA RENT,
MITRA SUKSES PLASINDO,
MODERNLAND REALTY TBK,
MORSOL GARINA MANDIRI,
MOUNT SCOPUS INDONESIA,
MSTC ANUGERAH SEJATI,
MUARA KARYA NUSANTARA,
MUARA SAKTI UTAMA,
MUDA JAYA ABADI,
MUFIDAH MEDIKA SAWANGAN,
MUKTI UTAMA LESTARI,
MULIATIARA EKSTRA PRESTASI,
MULTI ADHI PERKASA,
MULTI ADIRA PLASINDO,
MULTI MITRA LOGISTIK,
MULTI SANDANG TAMAJAYA,
MULTINDO TECHNOLOGY UTAMA,
MULYA JAYA AYU PRIMA,
MUSIKA NADA AUDIO,
MUTIARA SUMBER ABADI,
NAFRIYA ABADI MOTOR INDRAMAYU,
